Bodemfauna in Noordzee; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Trend in;Trendklasse gehele periode;Trendklasse laatste 10 jaar;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
; ; ; ;Index (basisjaar=100); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Anthozoa-bloemdieren-zeeanemonen;populatie-aantal;Matige afname;Onzeker;100;68;66;14;59;33;21;26;18;11;14;16;26;11;11;15;15;16;29;24;;14;;;24
Aricidea-borstelwormen;populatie-aantal;Matige afname;Onzeker;100;109;133;50;92;79;96;71;66;77;89;68;46;21;15;18;28;35;26;48;;22;;;73
Chaetopterus-borstelwormen;populatie-aantal;Matige afname;Onzeker;100;83;91;38;44;29;55;50;41;56;20;33;13;14;47;19;10;13;6;41;;26;;;33
Chaetozone-borstelwormen;populatie-aantal;Stabiel;Onzeker;100;134;212;146;238;270;120;233;180;136;109;129;109;74;103;95;135;156;164;86;;146;;;120
Diplocirrus-borstelwormen;populatie-aantal;Matige toename;Onzeker;100;64;30;45;21;22;43;39;55;68;81;100;169;90;70;101;43;45;73;94;;68;;;83
Eteone-borstelwormen;populatie-aantal;Onzeker;Onzeker;100;175;826;1616;4193;1128;1237;753;337;847;1082;1319;660;282;754;2028;579;482;1786;1447;;1111;;;1061
Eumida-borstelwormen;populatie-aantal;Onzeker;Onzeker;100;383;33;348;328;45;253;209;56;157;548;144;118;196;118;104;13;78;26;65;;118;;;91
Exogone-borstelwormen;populatie-aantal;Onzeker;Onzeker;100;33;1833;1531;1243;191;1625;956;84;168;0;0;0;0;0;84;84;335;84;168;;84;;;2429
Gattyana-borstelwormen;populatie-aantal;Matige afname;Onzeker;100;85;96;50;42;18;32;25;33;47;15;35;10;12;28;13;9;18;7;6;;16;;;29
Glycera-borstelwormen;populatie-aantal;Matige afname;Matige toename;100;184;310;207;149;63;55;44;52;39;23;48;62;25;57;55;55;41;74;55;;57;;;142
Glyphohesione-borstelwormen;populatie-aantal;Matige afname;Onzeker;100;62;151;87;95;29;54;43;34;46;21;56;48;39;40;40;29;20;21;25;;28;;;35
