Jaar;%_vangstgewicht_groter_25cm
1970;37,9457558
1971;31,00893879
1972;35,24322966
1973;19,43507231
1974;18,34514256
1975;32,93025362
1976;27,67326241
1977;35,81854615
1978;35,38709219
1979;34,92868509
1980;25,67421834
1981;26,54221554
1982;17,4115858
1983;22,57841419
1984;25,65920793
1985;25,87853565
1986;11,93003137
1987;14,42487409
1988;19,70870902
1989;20,95645794
1990;20,01319523
1991;17,3773083
1992;15,27524613
1993;15,61437987
1994;15,77650332
1995;13,91168477
1996;10,73129387
1997;8,468037327
1998;6,830802407
1999;11,00714923
2000;8,225631247
2001;10,0465648
2002;4,956948926
2003;
2004;10,2865515
2005;8,667587966
2006;9,029359405
2007;5,211344955
2008;7,925415113
2009;6,516036243
2010;8,63980601
2011;4,747564454
2012;6,134951189
2013;8,82592357
