Roggen en haaien strandwaarnemingen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Trend in;Trendklasse gehele periode;Trendklasse laatste 10 jaar;1945-1949;1950-1954;1955-1959;1960-1964;1965-1969;1970-1974;1975-1979;1980-1984;1985-1989;1990-1994;1995-1999;2000-2004;2005-2009;2010-2014;2015-2016
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ; ; ; ;Index (basisjaar=100); ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hondshaai;populatie-aantal;Stabiel;Sterke toename;100;69;60;64;28;11;13;12;29;21;47;51;52;55;54
Gevlekte rog;populatie-aantal;Sterke afname;Onzeker;100;116;91;42;7;5;14;8;14;8;13;7;6;6;2
Stekelrog;populatie-aantal;Sterke afname;Sterke toename;100;134;95;58;29;22;7;7;18;21;22;19;19;22;27
Sterrog;populatie-aantal;Matige afname;Matige afname;100;24;235;105;0;22;69;77;188;231;65;20;40;8;0
Vleet;populatie-aantal;Matige afname;Onzeker;100;141;500;88;0;0;0;0;0;0;0;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Bron:;Stichting Anemoon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Trendklasse:;Matig: <5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Sterk: >5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Stabiel: niet signifcant, maar zeker <5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Onzeker: niet signifcant, maar mogelijk >5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Referentiecode:;www.clo.nl/nl124910; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Indicatorcode:;1249_001g_clo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Indicatorversie:;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
