Jaar;Haring;Kabeljauw;Schol;Tong
1947;5541;.;.;.
1948;4518;.;.;.
1949;4385;.;.;.
1950;4330;.;.;.
1951;4136;.;.;.
1952;4137;.;.;.
1953;3910;.;.;.
1954;3663;.;.;.
1955;3560;.;.;.
1956;3291;.;.;.
1957;2972;.;342;63
1958;2418;.;355;66
1959;3600;.;362;68
1960;2981;.;380;69
1961;2866;.;391;103
1962;2007;.;482;86
1963;2912;145;441;71
1964;2650;157;430;52
1965;2126;193;384;41
1966;1628;214;405;108
1967;1032;243;474;103
1968;570;256;459;91
1969;496;252;403;71
1970;476;262;370;64
1971;327;266;362;56
1972;333;238;366;64
1973;296;211;302;47
1974;199;226;298;47
1975;114;203;302;48
1976;153;173;329;46
1977;104;146;329;37
1978;137;146;328;42
1979;181;145;302;52
1980;199;159;319;40
1981;297;167;291;26
1982;415;167;284;40
1983;631;137;339;50
1984;1048;119;367;50
1985;1137;117;395;47
1986;1150;108;408;39
1987;1361;110;471;35
1988;1772;110;425;43
1989;1796;102;448;38
1990;1892;90;396;121
1991;1671;89;357;91
1992;1303;85;311;91
1993;946;88;280;60
1994;1006;96;233;86
1995;1075;111;222;63
1996;1196;110;203;38
1997;1353;100;205;32
1998;1578;97;238;25
1999;1621;82;219;50
2000;1681;64;231;42
2001;2147;61;234;34
2002;2539;56;222;34
2003;2609;57;248;27
2004;2537;46;233;40
2005;2333;48;254;32
2006;1900;45;284;25
2007;1540;77;293;18
2008;1613;84;372;35
2009;1906;90;453;31
2010;2024;89;554;31
2011;2422;96;575;30
2012;2553;94;618;38
2013;2327;99;710;45
2014;2250;106;823;42
2015;2060;120;774;44
2016;2357;120;836;58
2017;1887;114;913;59
2018;1529;118;941;58
