Jaar;Boomkor;Flyshoot;Puls;Sumwing;Garnalen;Diversen
2000;67,535;;;;4,857;3,858
2001;64,585;;;;5,247;3,553
2002;58,273;;;;5,231;4,009
2003;53,8;0;;;4,3;5,7
2004;49,5;0;;;4,9;4,2
2005;46,765;1,246;;;4,613;3,327
2006;44,682;1,37;;;4,504;2,572
2007;43,57;1,513;;;4,778;2,94
2008;34,01;2,067;;0,462;5,281;2,13
2009;26,312;3,212;1,01;2,558;5,905;2,32
2010;18,452;2,586;2,499;9,049;4,759;2,565
2011;10,344;2,202;9,724;8,795;3,843;2,495
2012;4,962;2,257;16,226;5,858;5,476;3,043
2013;2,248;2,751;17,521;7,783;5,254;1,537
2014;0,602986057;4,100624409;19,15705154;4,284531483;4,858529204;1,075876173
2015;0,250465608;4,163116138;19,67374917;3,290181487;4,356637001;1,410316406
2016;1,220682684;4,296854031;20,22289519;2,877033551;5,180926741;1,290271508
