Jaar;Aangelande Haring ;TAC ;Overboord gezette Haring ;Aangelande Kabeljauw ;TAC;Overboord gezette Kabeljauw;Aangelande schol;TAC;Overboord gezette Schol ;Aangelande tong;TAC;Overboord gezette tong
2002;304;301;49;52,2;56,4;11,9;77,3;83,4;55,1;16,9;16;1,7
2003;414;452;36;30,2;31,2;4,1;73,6;83,7;79,3;17,9;15,9;1,4
2004;484;498;66;27,5;31,2;8,8;69,4;70,5;57,5;18,8;17;2,4
2005;568;585;71;28,1;31,2;10,1;61,8;66,6;56,3;16,4;18,6;1,3
2006;490;498;20;25,8;26,5;12;66,3;64,6;64,2;12,6;17,7;1
2007;361;373;27;24,2;22,8;30,5;57,3;58,5;42,4;14,6;15;0,9
2008;228;220;17;26,7;25,3;25,1;57,2;58,3;47;14,1;12,8;0,5
2009;167;187;0;33,3;34,6;21;61,5;64,8;45,9;14;14;1,3
2010;175;178;0,013;37,7;40,3;12,5;69,4;73,1;46,6;12,6;14,1;2,2
2011;218;216;0;32;32,2;8,7;75,6;81,3;41,6;11,5;14,1;1,7
2012;425;423;0;32,1;31,8;8,7;81,4;92,3;59,9;11,6;16,2;2,5
2013;498;492;0;30,4;31,8;10,3;85,7;106,2;40;13,1;14;2,1
2014;504;483;4;34,7;33,4;10,7;79,8;121,7;52,9;13,1;11,9;1,6
2015;480;461;2;37,2;35,1;12,6;84,8;138,4;50,1;12,9;11,9;1,8
2016;560;531;0;38,2;40,4;12,3;92;143,5;44;14,1;13,3;1,2
2017;492;493;0;38;47;8,7;74,2;147,6;39;12,4;16,1;1,3
2018;;610;;;52,9;;;128;;;15,7;
