Noordzeevissen; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Trend in;Trendklasse gehele periode;Trendklasse laatste 10 jaar;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ; ; ; ;Index (basisjaar=100); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bot;populatie-aantal;Matige afname;Matige afname;100;162;92;102;71;96;81;95;76;71;73;63;47;65;53;103;52;77;88;72;121;126;68;52;60;56;67
Doornhaai;populatie-aantal;Matige toename;Matige toename;100;98;29;77;71;66;89;92;49;167;15;65;72;63;43;82;55;37;104;107;160;134;25;97;138;78;144
Dwergbolk;populatie-aantal;Matige toename;Sterke afname;100;87;22;28;37;42;27;13;41;40;26;63;61;64;67;50;28;60;67;42;23;18;31;23;9;11;33
Dwergtong;populatie-aantal;Matige toename;Sterke toename;100;88;205;249;228;191;242;157;127;423;410;253;324;250;325;181;109;221;260;293;303;197;205;197;313;664;656
Gevlekte rog;populatie-aantal;Matige toename;Matige toename;100;720;136;123;108;285;87;311;95;88;110;76;242;217;162;223;75;288;460;409;393;318;566;557;406;515;451
Grauwe poon;populatie-aantal;Stabiel;Matige toename;100;104;116;133;96;115;168;91;155;288;148;114;127;155;129;185;151;171;143;119;185;177;178;171;196;267;169
Haring;populatie-aantal;Stabiel;Matige toename;100;135;74;229;120;102;130;218;154;86;199;198;237;283;126;111;149;75;121;148;67;268;152;106;176;224;142
Harnasmannetje;populatie-aantal;Matige toename;Matige toename;100;74;115;68;75;166;75;157;97;99;75;110;166;158;170;104;99;71;160;54;64;58;165;159;215;94;130
Hondshaai;populatie-aantal;Matige toename;Sterke toename;100;64;44;56;48;95;87;50;33;94;139;93;166;205;178;147;249;262;312;354;355;249;350;224;296;551;751
Horsmakreel;populatie-aantal;Matige afname;Matige toename;;100;327;150;210;156;117;395;85;108;229;511;459;287;122;121;70;31;108;56;146;58;52;35;105;102;304
Kabeljauw;populatie-aantal;Matige afname;Onzeker;100;100;98;129;82;208;128;204;214;117;104;67;89;35;74;46;58;57;36;31;44;46;54;51;48;71;54
