Zoogdieren populatie-aantallen of verspreiding; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Trend in;Trendklasse gehele periode;Trendklasse laatste 10 jaar;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ; ; ; ;Index (basisjaar=100); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Aardmuis;verspreiding;Stabiel;Matige toename;;;;;;100;93;96;100;94;94;94;91;97;95;94;93;91;94;93;94;92;96;97;98;
Baardvleermuizen (210, 211, 212);populatie-aantal;Matige toename;Stabiel;124;134;143;138;149;156;157;155;173;182;202;212;238;244;248;285;288;295;323;310;311;343;360;335;293;315
Bever;verspreiding;Sterke toename;;;;;100;98;134;155;167;176;212;288;282;318;369;532;539;580;598;773;883;1009;1153;1591;2037;2579;
Bosmuis;verspreiding;Matige toename;Stabiel;;;;;;100;102;102;101;99;103;102;103;102;100;102;102;102;102;103;103;103;104;103;101;
Bosspitsmuis spindet;verspreiding;Stabiel;Stabiel;;;;;;100;99;100;99;99;99;99;98;99;97;98;100;99;99;100;100;99;100;101;100;
Dwergmuis;verspreiding;Matige toename;Stabiel;;;;;;100;81;86;99;92;99;94;96;95;95;94;99;99;96;98;100;92;96;94;96;
Dwergspitsmuis;verspreiding;Matige toename;Matige toename;;;;;;100;87;92;101;90;77;89;83;100;87;94;97;86;95;97;96;94;99;102;97;
Eekhoorn;populatie-aantal;Matige afname;Matige afname;;;;;;;100;67;56;59;64;64;65;62;58;76;62;102;88;60;55;40;73;47;51;57
Egel;populatie-aantal;Stabiel;Onzeker;;;;;100;86;71;61;53;44;49;39;30;25;36;36;36;46;82;78;77;64;47;31;36;37
Franjestaart;populatie-aantal;Sterke toename;Sterke toename;152;197;186;198;265;309;397;431;435;494;468;603;673;713;843;960;1183;1081;1451;1545;1735;1490;1557;1798;1873;2123
Gewone zeehond;populatie-aantal;Sterke toename;;100;133;170;191;219;251;282;358;409;429;596;644;808;430;571;625;728;751;1068;1158;1075;1348;1224;1428;;
Grijze grootoorvleermuis;populatie-aantal;Matige toename;Sterke toename;;;;;;;100;96;94;101;65;82;104;93;108;108;153;80;104;119;134;180;219;192;200;277
